treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,q_0,q_1
moderna,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,All,211899,211899,6182.672142368241,8996.396988364135,1429,857,0.23112983627377479,0.09526035824213146,0.41215084896826104,0.41,(0.38-0.45),"1,429 /  6,183","857 /  8,996"
moderna,postest,vax12_type-az-az,vax12_type,az-az,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0-6,1054427,1054427,14979.857631759069,16443.54004106776,3555,3479,0.23731867734597023,0.21157244676700962,0.8915119919473216,0.89,(0.85-0.93),"3,555 / 14,980","3,479 / 16,444"
moderna,postest,vax12_type-az-az,vax12_type,az-az,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,7-13,490202,633422,6948.208076659822,10008.287474332648,2591,1573,0.3729019009525055,0.15716974597643515,0.4214774598224776,0.42,(0.40-0.45),"2,591 /  6,948","1,573 / 10,008"
moderna,postest,vax12_type-az-az,vax12_type,az-az,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,14-27,219349,382632,3966.4339493497605,8724.887063655031,1510,485,0.3806946035865649,0.05558811208231545,0.14601759930036795,0.15,(0.13-0.16),"1,510 /  3,966","485 /  8,725"
moderna,postest,vax12_type-az-az,vax12_type,az-az,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,28-41,25601,92605,365.85626283367554,1629.7577002053388,NA,NA,NA,NA,NA,NA,NA,-- /    366,"-- /  1,630"
moderna,postest,vax12_type-az-az,vax12_type,az-az,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,42-55,935,7107,7.063655030800821,53.87268993839836,NA,NA,NA,NA,NA,NA,NA,-- /      7,-- /     54
moderna,postest,vax12_type-az-az,vax12_type,az-az,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,All,1054427,1054427,26267.41957563313,36860.34496919918,7802,5621,0.2970219430018735,0.15249450336661136,0.5134115743281953,0.51,(0.50-0.53),"7,802 / 26,267","5,621 / 36,860"
moderna,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0-6,211899,211899,3012.0301163586582,3304.4736481861737,NA,NA,NA,NA,NA,NA,NA,"-- /  3,012","-- /  3,304"
moderna,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,7-13,109155,139306,1693.946611909651,2388.769336071184,NA,NA,NA,NA,NA,NA,NA,"-- /  1,694","-- /  2,389"
moderna,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,14-27,63120,103997,1353.3607118412046,2738.6201232032854,NA,NA,NA,NA,NA,NA,NA,"-- /  1,353","-- /  2,739"
moderna,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,28-41,12203,36341,157.19917864476386,578.1300479123888,NA,0,0.012722712785411986,0,0,0,(NA-1.45),-- /    157,0 /    578
moderna,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,42-55,231,1481,1.5359342915811087,9.289527720739219,0,0,0,0,NaN,NA,(NA-NA),0 /      2,0 /      9
moderna,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,All,211899,211899,6218.072553045859,9019.282683093772,12,6,0.0019298584726422856,6.652413734904575e-4,0.34470992713762866,0.34,(0.11-0.99),"12 /  6,218","6 /  9,019"
moderna,covidemergency,vax12_type-az-az,vax12_type,az-az,mRNA-1273,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0-6,1054427,1054427,14997.084188911704,16458.98973305955,15,15,0.0010001944251996967,9.113560578916323e-4,0.9111789017516999,0.91,(0.42-2.00),"15 / 14,997","15 / 16,459"
moderna,covidemergency,vax12_type-az-az,vax12_type,az-az,mRNA-1273,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,7-13,492724,635851,7005.82340862423,10057.45106091718,23,9,0.003282983121111331,8.948589404499925e-4,0.2725749440183145,0.27,(0.11-0.61),"23 /  7,006","9 / 10,057"
moderna,covidemergency,vax12_type-az-az,vax12_type,az-az,mRNA-1273,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,14-27,222483,384802,4049.6454483230664,8772.246406570843,23,7,0.005679509550527234,7.979712009408054e-4,0.14050001920794886,0.14,(0.05-0.34),"23 /  4,050","7 /  8,772"
